"customer_city","payment_type","order_status","average_order_value"
crisopolis,boleto,shipped,50.96
jundiai,credit_card,canceled,50.97
engenheiro beltrao,credit_card,shipped,50.98
boa esperanca do iguacu,boleto,delivered,51.00
maringa,voucher,canceled,51.00
condor,voucher,delivered,51.05
feira de santana,credit_card,invoiced,51.06
divino das laranjeiras,credit_card,delivered,51.10
meleiro,debit_card,delivered,51.10
apiacas,debit_card,shipped,51.12
osasco,boleto,invoiced,51.17
sao goncalo do sapucai,boleto,delivered,51.26
vargem alta,boleto,delivered,51.27
alexandra,credit_card,delivered,51.31
sao jose do ouro,debit_card,delivered,51.32
jaraguari,credit_card,delivered,51.41
bombinhas,debit_card,delivered,51.42
buritizal,credit_card,delivered,51.44
neves paulista,credit_card,delivered,51.44
guaicara,voucher,delivered,51.49
afogados da ingazeira,voucher,delivered,51.53
diadema,debit_card,delivered,51.57
aquidauana,credit_card,delivered,51.58
rio branco do sul,boleto,delivered,51.59
sapiranga,credit_card,canceled,51.60
chopinzinho,boleto,delivered,51.64
mombuca,boleto,delivered,51.69
antonio goncalves,credit_card,delivered,51.69
sao joao do sabugi,credit_card,delivered,51.74
nova russas,voucher,delivered,51.74
osvaldo cruz,voucher,delivered,51.75
caibi,boleto,delivered,51.75
videira,credit_card,shipped,51.78
guabiju,credit_card,delivered,51.83
franca,credit_card,invoiced,51.84
igaracu do tiete,voucher,delivered,51.91
barra da estiva,voucher,delivered,51.96
almirante tamandare,voucher,delivered,52.00
pedreira,voucher,delivered,52.04
novo repartimento,boleto,delivered,52.04
itacare,voucher,delivered,52.04
caetanopolis,boleto,delivered,52.05
igrapiuna,credit_card,delivered,52.05
guamare,boleto,delivered,52.05
vermelho novo,boleto,delivered,52.10
muquem do sao francisco,credit_card,delivered,52.11
perdoes,boleto,delivered,52.12
gongogi,credit_card,delivered,52.13
pirapora do bom jesus,voucher,delivered,52.18
rifaina,credit_card,delivered,52.26
ararangua,boleto,delivered,52.33
cacule,boleto,delivered,52.34
engenheiro beltrao,boleto,invoiced,52.38
alto paraiso de goias,boleto,delivered,52.41
conceicao do jacuipe,boleto,delivered,52.49
jatai,voucher,delivered,52.51
juazeiro do norte,boleto,shipped,52.62
horizontina,boleto,delivered,52.78
santo antonio do jardim,credit_card,shipped,52.78
prados,boleto,delivered,52.82
nova friburgo,credit_card,canceled,52.84
piquete,voucher,delivered,52.85
brasilia,credit_card,invoiced,52.89
barrinha,credit_card,shipped,52.92
cabedelo,boleto,delivered,52.93
palotina,voucher,delivered,52.98
janauba,boleto,invoiced,53.00
joaima,credit_card,delivered,53.00
itaborai,credit_card,shipped,53.10
itapiuna,credit_card,delivered,53.12
riolandia,credit_card,delivered,53.16
valinhos,boleto,canceled,53.19
conquista,boleto,delivered,53.19
martinesia,credit_card,delivered,53.23
cacimbinhas,boleto,invoiced,53.30
jaguarembe,credit_card,delivered,53.31
paraiso das aguas,credit_card,delivered,53.34
jandaia,credit_card,delivered,53.40
hortolandia,debit_card,delivered,53.45
mandaguari,voucher,delivered,53.58
cassia,boleto,delivered,53.61
